Year;Entity;Code;Large oil spills (>700 tonnes);Medium oil spills (7-700 tonnes);Quantity of oil spilled;Decadal large oil spills (>700 tonnes);Decadal medium oil spills (7-700 tonnes);Decadal quantity of oil spilled;At anchor (inland) operations;Bunkering operations;Other operations;Underway (open water) operations;At anchor (open water) operations;Loading/discharging operations;Underway (inland) operations;Unknown operations;Allision/collision causes;Fire/explosion causes;Hull failure causes;Unknown causes;Equipment failure causes;Grounding causes;Other causes
1970;World;OWID_WRL;29.0;7.0;383000.0;24.0;54.0;319500.0;;;;;;;;;;;;;;;
1971;World;OWID_WRL;14.0;18.0;144000.0;;;;;;;;;;;;;;;;;;
1972;World;OWID_WRL;27.0;48.0;313000.0;;;;;;;;;;;;;;;;;;
1973;World;OWID_WRL;31.0;28.0;159000.0;;;;;;;;;;;;;;;;;;
1974;World;OWID_WRL;27.0;90.0;174000.0;;;;;;;;;;;;;;;;;;
1975;World;OWID_WRL;20.0;96.0;352000.0;;;;;;;;;;;;;;;;;;
1976;World;OWID_WRL;26.0;67.0;365000.0;;;;;;;;;;;;;;;;;;
1977;World;OWID_WRL;16.0;70.0;276000.0;;;;;;;;;;;;;;;;;;
1978;World;OWID_WRL;23.0;59.0;393000.0;;;;;;;;;;;;;;;;;;
1979;World;OWID_WRL;32.0;60.0;636000.0;;;;;;;;;;;;;;;;;;
1980;World;OWID_WRL;13.0;52.0;206000.0;9.0;36.0;117500.0;;;;;;;;;;;;;;;
1981;World;OWID_WRL;7.0;54.0;48000.0;;;;;;;;;;;;;;;;;;
1982;World;OWID_WRL;4.0;46.0;12000.0;;;;;;;;;;;;;;;;;;
1983;World;OWID_WRL;13.0;52.0;384000.0;;;;;;;;;;;;;;;;;;
1984;World;OWID_WRL;8.0;26.0;29000.0;;;;;;;;;;;;;;;;;;
1985;World;OWID_WRL;8.0;33.0;85000.0;;;;;;;;;;;;;;;;;;
1986;World;OWID_WRL;7.0;27.0;19000.0;;;;;;;;;;;;;;;;;;
1987;World;OWID_WRL;11.0;27.0;38000.0;;;;;;;;;;;;;;;;;;
1988;World;OWID_WRL;10.0;11.0;190000.0;;;;;;;;;;;;;;;;;;
1989;World;OWID_WRL;13.0;32.0;164000.0;;;;;;;;;;;;;;;;;;
1990;World;OWID_WRL;14.0;50.0;61000.0;8.0;28.0;113400.0;;;;;;;;;;;;;;;
1991;World;OWID_WRL;7.0;30.0;431000.0;;;;;;;;;;;;;;;;;;
1992;World;OWID_WRL;10.0;31.0;167000.0;;;;;;;;;;;;;;;;;;
1993;World;OWID_WRL;11.0;31.0;140000.0;;;;;;;;;;;;;;;;;;
1994;World;OWID_WRL;9.0;26.0;130000.0;;;;;;;;;;;;;;;;;;
1995;World;OWID_WRL;3.0;20.0;12000.0;;;;;;;;;;;;;;;;;;
1996;World;OWID_WRL;3.0;20.0;80000.0;;;;;;;;;;;;;;;;;;
1997;World;OWID_WRL;10.0;28.0;72000.0;;;;;;;;;;;;;;;;;;
1998;World;OWID_WRL;5.0;25.0;13000.0;;;;;;;;;;;;;;;;;;
1999;World;OWID_WRL;5.0;20.0;28000.0;;;;;;;;;;;;;;;;;;
2000;World;OWID_WRL;4.0;21.0;14000.0;3.0;15.0;19600.0;;;;;;;;;;;;;;;
2001;World;OWID_WRL;3.0;18.0;9000.0;;;;;;;;;;;;;;;;;;
2002;World;OWID_WRL;3.0;11.0;66000.0;;;;;;;;;;;;;;;;;;
2003;World;OWID_WRL;4.0;19.0;43000.0;;;;;;;;;;;;;;;;;;
2004;World;OWID_WRL;5.0;20.0;17000.0;;;;;;;;;;;;;;;;;;
2005;World;OWID_WRL;3.0;22.0;15000.0;;;;;;;;;;;;;;;;;;
2006;World;OWID_WRL;4.0;12.0;12000.0;;;;;;;;;;;;;;;;;;
2007;World;OWID_WRL;3.0;12.0;15000.0;;;;;;;;;;;;;;;;;;
2008;World;OWID_WRL;1.0;7.0;2000.0;;;;;;;;;;;;;;;;;;
2009;World;OWID_WRL;2.0;7.0;3000.0;;;;;;;;;;;;;;;;;;
2010;World;OWID_WRL;4.0;5.0;12000.0;2.0;4.0;16400.0;;;;;;;;;;;;;;;
2011;World;OWID_WRL;1.0;4.0;2000.0;;;;;;;;;;;;;;;;;;
2012;World;OWID_WRL;0.0;7.0;1000.0;;;;;;;;;;;;;;;;;;
2013;World;OWID_WRL;3.0;5.0;7000.0;;;;;;;;;;;;;;;;;;
2014;World;OWID_WRL;1.0;4.0;5000.0;;;;;;;;;;;;;;;;;;
2015;World;OWID_WRL;2.0;6.0;7000.0;;;;;;;;;;;;;;;;;;
2016;World;OWID_WRL;1.0;4.0;6000.0;;;;;;;;;;;;;;;;;;
2017;World;OWID_WRL;2.0;4.0;7000.0;;;;;;;;;;;;;;;;;;
2018;World;OWID_WRL;3.0;4.0;116000.0;;;;;;;;;;;;;;;;;;
2019;World;OWID_WRL;1.0;2.0;1000.0;;;;;;;;;;;;;;;;;;
2020;World;OWID_WRL;0.0;4.0;1000.0;1.0;4.0;8667.0;;;;;;;;;;;;;;;
2021;World;OWID_WRL;1.0;5.0;10000.0;;;;;;;;;;;;;;;;;;
2022;World;OWID_WRL;3.0;4.0;15000.0;;;;;;;;;;;;;;;;;;
2022;Large (>700t);;;;;;;;20.0;;83.0;233.0;10.0;42.0;82.0;;140.0;54.0;60.0;13.0;19.0;150.0;34.0
2022;Medium (7-700t);;;;;;;;;33.0;195.0;;;399.0;;764.0;367.0;51.0;101.0;207.0;214.0;271.0;180.0
