ID_Cliente,Edad,Prima_Seguro,Tipo_Seguro,Genero,Antiguedad_Cliente_Anios,Reclamos_Anuales,Provincia,Canal_Contratacion,Tiene_Descuento,Satisfaccion_Cliente
1,56,4737.44,Auto,M,0,0,Misiones,Online,0,3
2,69,13342.43,Vida,M,6,0,Mendoza,Online,0,3
3,46,5329.27,Tecnología,F,10,0,Entre Ríos,Agente,0,3
4,32,11128.12,Viaje,M,1,1,Misiones,Sucursal,1,1
5,60,12809.77,Auto,M,0,4,Córdoba,Sucursal,0,3
6,25,8148.4,Auto,M,2,1,Córdoba,Sucursal,0,4
7,38,9684.24,Auto,F,3,0,Misiones,Online,0,3
8,56,10111.3,Salud,F,12,0,Santa Fe,Teléfono,0,3
9,36,14096.74,Salud,M,5,2,Misiones,Teléfono,0,2
10,40,14551.97,Auto,M,9,1,Tucumán,Online,0,2
11,28,9435.67,Vida,M,13,0,Salta,Online,0,3
12,28,16397.0,Salud,F,4,1,Córdoba,Teléfono,0,4
13,41,12182.92,Salud,M,14,0,Chaco,Online,0,5
14,70,10607.79,Vida,F,14,3,Misiones,Teléfono,0,3
15,53,13112.58,Vida,M,13,1,Córdoba,Online,0,3
16,57,9532.55,Vida,F,3,0,Salta,Sucursal,0,4
17,41,9582.96,Auto,M,7,0,Salta,Agente,0,3
18,20,8528.28,Vida,F,10,3,Chaco,Sucursal,0,3
19,39,21052.43,Vida,F,11,1,Corrientes,Sucursal,1,2
20,70,9795.21,Viaje,M,13,1,Tucumán,Sucursal,0,4
21,19,10461.07,Vida,F,3,2,Misiones,Online,0,3
22,41,15308.72,Salud,F,12,2,Buenos Aires,Online,0,4
23,61,11239.32,Auto,F,9,1,Misiones,Agente,1,4
24,47,9807.09,Hogar,M,11,1,Corrientes,Teléfono,1,2
25,55,13576.75,Auto,M,12,2,Entre Ríos,Sucursal,0,4
26,19,13689.77,Auto,F,1,2,Mendoza,Online,0,4
27,38,12151.9,Salud,M,14,2,Santa Fe,Online,0,3
28,50,7118.04,Tecnología,M,2,1,Corrientes,Online,0,2
29,29,10382.32,Auto,F,5,2,Salta,Sucursal,1,1
30,39,3484.24,Hogar,M,7,2,Buenos Aires,Teléfono,0,3
31,61,8246.2,Salud,M,7,2,Santa Fe,Sucursal,0,3
32,42,15930.68,Auto,M,14,0,Córdoba,Teléfono,1,3
33,66,20075.37,Vida,F,10,4,Misiones,Online,1,2
34,44,13394.05,Salud,M,14,2,Santa Fe,Online,0,4
35,59,15838.57,Vida,M,8,1,Córdoba,Online,0,2
36,45,12477.13,Auto,F,6,2,Mendoza,Sucursal,0,2
37,33,19566.64,Hogar,F,12,2,Córdoba,Online,1,3
38,32,19022.21,Salud,F,1,0,Buenos Aires,Agente,1,3
39,64,13141.12,Vida,F,7,1,Salta,Online,0,2
40,68,8526.72,Auto,M,6,2,Corrientes,Agente,0,2
41,61,7862.92,Salud,F,7,1,Chaco,Sucursal,1,2
42,72,12391.43,Auto,F,11,3,Corrientes,Agente,0,4
43,69,11513.33,Salud,M,2,1,Corrientes,Sucursal,0,4
44,74,7046.56,Auto,F,6,1,Córdoba,Agente,1,3
45,20,6648.22,Tecnología,Otro,9,2,Misiones,Online,0,4
46,54,7295.36,Hogar,F,12,0,Santa Fe,Teléfono,0,4
47,68,15741.42,Hogar,F,8,1,Chaco,Agente,1,2
48,24,14149.41,Auto,F,2,1,Chaco,Online,1,5
49,38,10356.08,Hogar,F,13,2,Santa Fe,Online,0,4
50,26,13255.85,Viaje,F,9,1,Santa Fe,Sucursal,0,2
51,56,8745.68,Tecnología,M,5,2,Salta,Agente,0,2
52,35,7766.15,Hogar,Otro,1,2,Buenos Aires,Sucursal,0,2
53,21,14779.37,Hogar,F,1,0,Mendoza,Sucursal,0,2
54,42,16683.42,Salud,M,4,4,Buenos Aires,Online,1,4
55,31,6509.43,Viaje,M,4,3,Santa Fe,Online,0,3
56,67,12927.67,Vida,M,12,0,Misiones,Teléfono,0,4
57,26,7633.15,Hogar,F,6,1,Tucumán,Online,0,4
58,43,6281.6,Hogar,F,11,1,Tucumán,Sucursal,1,3
59,70,17312.09,Vida,F,1,2,Mendoza,Agente,0,3
60,19,17491.08,Auto,M,10,1,Santa Fe,Online,0,1
61,37,7915.59,Vida,M,13,0,Tucumán,Sucursal,0,3
62,45,12138.91,Hogar,F,12,0,Mendoza,Online,0,3
63,64,11907.3,Salud,F,6,1,Chaco,Sucursal,0,1
64,24,9632.48,Auto,M,4,1,Mendoza,Online,0,1
65,61,11299.67,Vida,M,13,1,Chaco,Teléfono,0,4
